OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
1cff3953-6164-46b5-85b6-ecca5c7843f1,1957-02-07,Option,Buy,RSI,Buy 1 call option,100,-48735.08697610232,
c69093ee-285d-45ed-bc93-f62f42326c36,1957-02-26,Option,Sell,RSI,Sell 1 put option,100,77864.79156869931,
37dd0377-bf6c-43d4-8f8a-b08ee8254891,1957-03-05,Option,Sell,RSI,Sell 1 put option,100,79884.7884271004,
2cedcc28-0291-4cb9-b900-3260382ea7a5,1957-03-15,Option,Sell,RSI,Sell 1 put option,100,79144.78704110405,
ca32a072-c5ae-4cff-aee9-ff32df1c408e,1957-04-04,Option,Sell,RSI,Sell 1 put option,100,78204.78540100458,
fbc2a442-dacc-49f5-8d34-a508b2b97e1d,1957-04-09,Option,Sell,RSI,Sell 1 put option,100,77064.78357609235,
8fc22d90-a27f-48ae-a81f-6a6bee0b2126,1957-05-10,Option,Sell,RSI,Sell 1 put option,100,83904.7840380949,
d15d058b-36cb-479b-86c6-27fed1416c3c,1957-05-13,Option,Buy,MAVG,Buy 3 call options,255,-218063.52290687928,
0d90a703-affd-402e-bd32-dd0e073805c5,1957-06-11,Option,Sell,RSI,Sell 1 put option,100,88214.78697180426,
73118584-bcdd-4152-80dd-a1042d764282,1957-06-27,Option,Buy,RSI,Buy 1 call option,100,-87015.09928379935,
d936f282-8870-4c3a-8e14-72bb99989b2f,1957-07-05,Option,Sell,RSI,Sell 1 put option,100,89394.78787270468,
ba0cb583-07cf-40a8-be1e-5fb56aa70be5,1957-09-11,Option,Sell,MAVG,Sell 2 call options,200,158689.60813160706,
1d810aa8-5c17-41da-bb83-e6969132f2d4,1957-09-24,Option,Buy,RSI,Buy 1 call option,100,-78415.09119880036,
632f473a-3814-4700-9549-e1b25fa2048c,1957-09-27,Option,Buy,RSI,Buy 1 call option,100,-77745.09221519489,
7a78b539-1f10-4ea5-9b6e-b1af4d4185c7,1957-10-09,Option,Buy,RSI,Buy 1 call option,100,-76605.09470999998,
39464595-74da-428d-ba41-2fa3f385a5ef,1957-10-11,Option,Buy,RSI,Buy 1 call option,100,-74425.09413249994,
