Date,Pe_value
01/09/1985,12.09
01/10/1985,12.4
01/11/1985,13.33
01/12/1985,14.19
01/01/1986,14.28
01/02/1986,15.08
01/03/1986,16
01/04/1986,16.32
01/05/1986,16.28
01/06/1986,16.68
01/07/1986,16.27
01/08/1986,16.55
01/09/1986,16.05
01/10/1986,16.12
01/11/1986,16.79
01/12/1986,17.17
01/01/1987,18.01
01/02/1987,18.87
01/03/1987,19.37
01/04/1987,19.46
01/05/1987,19.73
01/06/1987,20.9
01/07/1987,20.81
01/08/1987,21.42
01/09/1987,20.09
01/10/1987,17.07
01/11/1987,14.45
01/12/1987,13.77
01/01/1988,14.03
01/02/1988,14.16
01/03/1988,14.29
01/04/1988,13.38
01/05/1988,12.41
01/06/1988,12.49
01/07/1988,12.22
01/08/1988,11.78
01/09/1988,11.79
01/10/1988,12.02
01/11/1988,11.57
01/12/1988,11.64
01/01/1989,11.82
01/02/1989,11.97
01/03/1989,11.73
01/04/1989,12.07
01/05/1989,12.49
01/06/1989,12.84
01/07/1989,13.43
01/08/1989,14.32
01/09/1989,14.66
01/10/1989,14.84
01/11/1989,14.7
01/12/1989,15.24
01/01/1990,15.13
01/02/1990,14.97
01/03/1990,15.62
01/04/1990,15.7
01/05/1990,16.37
01/06/1990,16.95
01/07/1990,16.81
01/08/1990,15.33
01/09/1990,14.51
01/10/1990,14.21
01/11/1990,14.68
01/12/1990,15.41
01/01/1991,15.35
01/02/1991,17.19
01/03/1991,17.78
01/04/1991,18.58
01/05/1991,18.98
01/06/1991,19.49
01/07/1991,20.14
01/08/1991,21.22
01/09/1991,21.73
01/10/1991,22.49
01/11/1991,23.27
01/12/1991,24.33
01/01/1992,25.93
01/02/1992,25.6
01/03/1992,25.16
01/04/1992,24.73
01/05/1992,24.75
01/06/1992,23.95
01/07/1992,23.88
01/08/1992,23.6
01/09/1992,23.2
01/10/1992,22.43
01/11/1992,22.56
01/12/1992,22.82
01/01/1993,22.5
01/02/1993,22.55
01/03/1993,22.69
01/04/1993,22.53
01/05/1993,22.83
01/06/1993,23.18
01/07/1993,22.72
01/08/1993,22.65
01/09/1993,22.5
01/10/1993,22.19
01/11/1993,21.63
01/12/1993,21.29
01/01/1994,21.34
01/02/1994,21.02
01/03/1994,20.42
01/04/1994,19
01/05/1994,18.5
01/06/1994,18.05
01/07/1994,17.42
01/08/1994,17.44
01/09/1994,17.09
01/10/1994,16.32
01/11/1994,15.62
01/12/1994,14.88
01/01/1995,14.89
01/02/1995,15.11
01/03/1995,15.15
01/04/1995,15.31
01/05/1995,15.5
01/06/1995,15.67
01/07/1995,16.07
01/08/1995,16.01
01/09/1995,16.45
01/10/1995,16.76
01/11/1995,17.33
01/12/1995,18.1
01/01/1996,18.08
01/02/1996,19.1
01/03/1996,19.01
01/04/1996,18.85
01/05/1996,19.1
01/06/1996,19.15
01/07/1996,18.26
01/08/1996,18.6
01/09/1996,18.75
01/10/1996,19
01/11/1996,19.45
01/12/1996,19.19
01/01/1997,19.53
01/02/1997,20.09
01/03/1997,19.69
01/04/1997,18.94
01/05/1997,20.6
01/06/1997,21.61
01/07/1997,22.8
01/08/1997,22.83
01/09/1997,23.06
01/10/1997,23.58
01/11/1997,23.46
01/12/1997,24.23
01/01/1998,24.29
01/02/1998,25.85
01/03/1998,27.23
01/04/1998,28.26
01/05/1998,28.3
01/06/1998,28.44
01/07/1998,29.9
01/08/1998,28
01/09/1998,26.8
01/10/1998,27.2
01/11/1998,30.25
01/12/1998,31.56
01/01/1999,32.92
01/02/1999,32.67
01/03/1999,33.39
01/04/1999,34
01/05/1999,33.19
01/06/1999,32.24
01/07/1999,32.88
01/08/1999,30.89
01/09/1999,29.99
01/10/1999,28.66
01/11/1999,29.74
01/12/1999,29.66
01/01/2000,29.04
01/02/2000,27.76
01/03/2000,28.31
01/04/2000,28.5
01/05/2000,27.49
01/06/2000,28.16
01/07/2000,28.05
01/08/2000,27.97
01/09/2000,27.34
01/10/2000,26.5
01/11/2000,26.9
01/12/2000,26.62
01/01/2001,27.55
01/02/2001,27.81
01/03/2001,26.1
01/04/2001,27.96
01/05/2001,32.02
01/06/2001,33.67
01/07/2001,35.46
01/08/2001,37.85
01/09/2001,36.9
01/10/2001,39.72
01/11/2001,43.62
01/12/2001,46.37
01/01/2002,46.17
01/02/2002,44.57
01/03/2002,46.71
01/04/2002,43.81
01/05/2002,41.41
01/06/2002,37.92
01/07/2002,32.46
01/08/2002,31.53
01/09/2002,28.89
01/10/2002,29.24
01/11/2002,32.03
01/12/2002,32.59
01/01/2003,31.43
01/02/2003,28.46
01/03/2003,27.92
01/04/2003,28.05
01/05/2003,28.24
01/06/2003,28.6
01/07/2003,27.65
01/08/2003,26.57
01/09/2003,26.42
01/10/2003,24.75
01/11/2003,23.15
01/12/2003,22.17
01/01/2004,22.73
01/02/2004,22.46
01/03/2004,21.62
01/04/2004,21.23
01/05/2004,20.14
01/06/2004,20.17
01/07/2004,19.51
01/08/2004,19.03
01/09/2004,19.35
01/10/2004,19.25
01/11/2004,20.05
01/12/2004,20.48
01/01/2005,19.99
01/02/2005,20.11
01/03/2005,19.84
01/04/2005,19.02
01/05/2005,18.93
01/06/2005,19
01/07/2005,19
01/08/2005,18.72
01/09/2005,18.44
01/10/2005,17.64
01/11/2005,18.01
01/12/2005,18.07
01/01/2006,18.07
01/02/2006,17.8
01/03/2006,17.8
01/04/2006,17.77
01/05/2006,17.46
01/06/2006,16.82
01/07/2006,16.61
01/08/2006,16.67
01/09/2006,16.77
01/10/2006,17.14
01/11/2006,17.24
01/12/2006,17.38
01/01/2007,17.36
01/02/2007,17.49
01/03/2007,16.92
01/04/2007,17.48
01/05/2007,17.92
01/06/2007,17.83
01/07/2007,18.36
01/08/2007,18.02
01/09/2007,19.05
01/10/2007,20.68
01/11/2007,20.81
01/12/2007,22.35
01/01/2008,21.46
01/02/2008,21.74
01/03/2008,21.81
01/04/2008,23.88
01/05/2008,25.81
01/06/2008,26.11
01/07/2008,25.37
01/08/2008,26.83
01/09/2008,26.48
01/10/2008,27.22
01/11/2008,34.99
01/12/2008,58.98
01/01/2009,70.91
01/02/2009,84.46
01/03/2009,110.37
01/04/2009,119.85
01/05/2009,123.73
01/06/2009,123.32
01/07/2009,101.87
01/08/2009,92.95
01/09/2009,83.3
01/10/2009,42.12
01/11/2009,28.51
01/12/2009,21.78
01/01/2010,20.7
01/02/2010,18.91
01/03/2010,18.91
01/04/2010,19.01
01/05/2010,17.3
01/06/2010,16.15
01/07/2010,15.72
01/08/2010,15.47
01/09/2010,15.61
01/10/2010,15.9
01/11/2010,15.88
01/12/2010,16.05
01/01/2011,16.3
01/02/2011,16.52
01/03/2011,16.04
01/04/2011,16.21
01/05/2011,16.12
01/06/2011,15.35
01/07/2011,15.61
01/08/2011,13.79
01/09/2011,13.5
01/10/2011,13.88
01/11/2011,14.1
01/12/2011,14.3
01/01/2012,14.87
01/02/2012,15.37
01/03/2012,15.69
01/04/2012,15.7
01/05/2012,15.22
01/06/2012,15.05
01/07/2012,15.55
01/08/2012,16.14
01/09/2012,16.69
