Date,Open,High,Low
15/10/1990,300.029999,304.790009,296.410004
16/10/1990,303.230011,304.339996,298.119995
17/10/1990,298.920013,301.5,297.790009
18/10/1990,298.75,305.73999,298.75
19/10/1990,305.73999,312.480011,305.73999
22/10/1990,312.480011,315.829987,310.470001
23/10/1990,314.76001,315.059998,312.059998
24/10/1990,312.359985,313.51001,310.73999
25/10/1990,312.600006,313.709991,309.700012
26/10/1990,310.170013,310.170013,304.709991
29/10/1990,304.73999,307.410004,300.690002
30/10/1990,301.880005,304.359985,299.440002
31/10/1990,304.059998,305.700012,302.329987
01/11/1990,303.98999,307.269989,301.609985
02/11/1990,307.019989,311.940002,306.880005
05/11/1990,311.850006,314.609985,311.410004
06/11/1990,314.589996,314.76001,311.429993
07/11/1990,311.619995,311.619995,305.790009
08/11/1990,306.01001,309.769989,305.029999
09/11/1990,307.609985,313.779999,307.609985
12/11/1990,313.73999,319.769989,313.730011
13/11/1990,319.480011,319.480011,317.26001
14/11/1990,317.660004,321.700012,317.230011
15/11/1990,320.399994,320.399994,316.130005
16/11/1990,317.019989,318.799988,314.98999
19/11/1990,317.149994,319.390015,317.149994
20/11/1990,319.339996,319.339996,315.309998
21/11/1990,315.309998,316.149994,312.420013
23/11/1990,316.029999,317.299988,315.059998
26/11/1990,315.079987,316.51001,311.480011
27/11/1990,316.51001,318.690002,315.799988
28/11/1990,318.109985,319.959991,317.619995
29/11/1990,317.950012,317.950012,315.029999
30/11/1990,316.420013,323.019989,315.420013
03/12/1990,322.230011,324.899994,322.230011
04/12/1990,324.109985,326.769989,321.970001
05/12/1990,326.359985,329.920013,325.660004
06/12/1990,329.940002,333.980011,328.369995
07/12/1990,329.089996,329.390015,326.390015
10/12/1990,327.75,328.970001,326.149994
11/12/1990,328.880005,328.880005,325.649994
12/12/1990,326.440002,330.359985,326.440002
13/12/1990,330.140015,330.579987,328.769989
14/12/1990,329.339996,329.339996,325.160004
17/12/1990,326.820007,326.820007,324.459991
18/12/1990,326.019989,330.429993,325.75
19/12/1990,330.040009,330.799988,329.390015
20/12/1990,330.200012,330.73999,326.940002
21/12/1990,330.119995,332.470001,330.119995
24/12/1990,331.73999,331.73999,329.160004
26/12/1990,329.890015,331.690002,329.890015
27/12/1990,330.850006,331.040009,328.230011
28/12/1990,328.290009,328.720001,327.23999
31/12/1990,328.709991,330.230011,327.5
02/01/1991,330.200012,330.75,326.450012
03/01/1991,326.459991,326.529999,321.899994
04/01/1991,321.910004,322.350006,318.869995
07/01/1991,320.970001,320.970001,315.440002
08/01/1991,315.440002,316.970001,313.790009
09/01/1991,314.899994,320.730011,310.929993
10/01/1991,311.51001,314.769989,311.51001
11/01/1991,314.529999,315.23999,313.589996
14/01/1991,315.230011,315.230011,309.350006
15/01/1991,312.48999,313.730011,311.839996
16/01/1991,313.730011,316.940002,312.940002
17/01/1991,316.25,327.970001,316.25
18/01/1991,327.929993,332.230011,327.079987
21/01/1991,332.230011,332.230011,328.869995
22/01/1991,331.059998,331.26001,327.829987
23/01/1991,328.299988,331.040009,327.929993
24/01/1991,330.209991,335.829987,330.190002
25/01/1991,334.779999,336.920013,334.200012
28/01/1991,336.059998,337.410004,335.809998
29/01/1991,336.029999,336.029999,334.26001
30/01/1991,335.799988,340.910004,335.709991
31/01/1991,340.920013,343.929993,340.470001
01/02/1991,343.910004,344.899994,340.369995
04/02/1991,343.049988,348.709991,342.959991
05/02/1991,348.339996,351.839996,347.209991
06/02/1991,351.26001,358.070007,349.579987
07/02/1991,358.070007,363.429993,355.529999
08/02/1991,356.519989,359.350006,356.019989
11/02/1991,359.359985,368.579987,359.320007
12/02/1991,368.579987,370.540009,365.5
13/02/1991,365.5,369.48999,364.640015
14/02/1991,369.019989,370.26001,362.769989
15/02/1991,364.230011,369.48999,364.230011
19/02/1991,369.059998,370.109985,367.049988
20/02/1991,369.369995,369.369995,364.380005
21/02/1991,365.140015,366.790009,364.5
22/02/1991,364.970001,370.959991,364.230011
25/02/1991,365.649994,370.190002,365.160004
26/02/1991,367.26001,367.26001,362.190002
27/02/1991,362.809998,368.380005,362.809998
28/02/1991,367.730011,369.910004,365.950012
01/03/1991,367.070007,370.470001,363.730011
04/03/1991,370.470001,371.98999,369.070007
05/03/1991,369.329987,377.890015,369.329987
06/03/1991,376.720001,379.660004,375.019989
07/03/1991,376.160004,377.48999,375.579987
08/03/1991,375.910004,378.690002,374.429993
11/03/1991,374.940002,375.100006,372.519989
12/03/1991,372.959991,374.350006,369.549988
13/03/1991,370.029999,374.649994,370.029999
14/03/1991,374.589996,378.279999,371.76001
15/03/1991,373.5,374.579987,370.209991
18/03/1991,373.589996,374.089996,369.459991
19/03/1991,372.109985,372.109985,366.540009
20/03/1991,366.589996,368.850006,365.799988
21/03/1991,367.940002,371.01001,366.51001
22/03/1991,366.579987,368.220001,365.579987
25/03/1991,367.480011,371.309998,367.459991
26/03/1991,369.829987,376.299988,369.369995
27/03/1991,376.279999,378.480011,374.730011
28/03/1991,375.350006,376.600006,374.399994
01/04/1991,375.220001,375.220001,370.269989
02/04/1991,371.299988,379.5,371.299988
03/04/1991,379.5,381.559998,378.48999
04/04/1991,378.940002,381.880005,377.049988
05/04/1991,379.779999,381.119995,374.149994
08/04/1991,375.350006,378.76001,374.690002
09/04/1991,378.649994,379.019989,373.109985
10/04/1991,373.570007,374.829987,371.209991
11/04/1991,373.149994,379.529999,373.149994
12/04/1991,377.649994,381.070007,376.890015
15/04/1991,380.399994,382.320007,378.779999
16/04/1991,381.190002,387.619995,379.640015
17/04/1991,387.619995,391.26001,387.299988
18/04/1991,390.450012,390.970001,388.130005
19/04/1991,388.459991,388.459991,383.899994
22/04/1991,384.190002,384.190002,380.160004
23/04/1991,380.950012,383.549988,379.670013
24/04/1991,381.76001,383.019989,379.98999
25/04/1991,382.890015,382.890015,378.429993
26/04/1991,379.25,380.109985,376.769989
29/04/1991,379.01001,380.959991,373.660004
30/04/1991,373.660004,377.859985,373.01001
01/05/1991,375.350006,380.459991,375.269989
02/05/1991,380.290009,382.140015,379.820007
03/05/1991,380.519989,381,378.820007
06/05/1991,380.779999,380.779999,377.859985
07/05/1991,380.079987,380.910004,377.309998
08/05/1991,377.329987,379.26001,376.209991
09/05/1991,378.51001,383.559998,378.51001
10/05/1991,383.26001,383.910004,375.609985
13/05/1991,375.73999,377.019989,374.619995
14/05/1991,375.51001,375.529999,370.820007
15/05/1991,371.549988,372.470001,365.829987
16/05/1991,368.570007,372.51001,368.570007
17/05/1991,372.190002,373.01001,369.440002
20/05/1991,372.390015,373.649994,371.26001
21/05/1991,372.279999,376.660004,372.279999
22/05/1991,375.350006,376.5,374.399994
23/05/1991,376.190002,378.070007,373.549988
24/05/1991,374.970001,378.079987,374.970001
28/05/1991,377.48999,382.100006,377.119995
29/05/1991,381.940002,383.660004,381.369995
30/05/1991,382.790009,388.170013,382.5
31/05/1991,386.959991,389.850006,385.01001
03/06/1991,389.809998,389.809998,386.970001
04/06/1991,388.059998,388.059998,385.140015
05/06/1991,387.73999,388.230011,384.450012
06/06/1991,385.100006,385.850006,383.130005
07/06/1991,383.630005,383.630005,378.76001
10/06/1991,379.429993,379.75,377.950012
11/06/1991,378.570007,381.630005,378.570007
12/06/1991,381.049988,381.049988,374.459991
13/06/1991,376.649994,377.899994,376.079987
14/06/1991,377.630005,382.299988,377.630005
17/06/1991,382.299988,382.309998,380.130005
18/06/1991,380.130005,381.829987,377.98999
19/06/1991,378.570007,378.570007,374.359985
20/06/1991,375.089996,376.290009,373.869995
21/06/1991,375.420013,377.75,375.329987
24/06/1991,377.73999,377.73999,370.730011
25/06/1991,370.940002,372.619995,369.559998
26/06/1991,370.649994,372.730011,368.339996
27/06/1991,371.589996,374.399994,371.589996
28/06/1991,374.399994,374.399994,367.980011
01/07/1991,371.179993,377.920013,371.179993
02/07/1991,377.920013,377.929993,376.619995
03/07/1991,377.470001,377.470001,372.079987
05/07/1991,373.339996,375.51001,372.170013
08/07/1991,374.089996,377.940002,370.920013
09/07/1991,377.940002,378.579987,375.369995
10/07/1991,376.109985,380.350006,375.200012
11/07/1991,375.730011,377.679993,375.51001
12/07/1991,376.970001,381.410004,375.790009
15/07/1991,380.279999,383,380.23999
16/07/1991,382.390015,382.940002,380.799988
17/07/1991,381.5,382.859985,381.130005
18/07/1991,381.179993,385.369995,381.179993
19/07/1991,385.380005,385.829987,383.649994
22/07/1991,384.209991,384.549988,381.839996
23/07/1991,382.880005,384.859985,379.390015
24/07/1991,379.420013,380.459991,378.290009
25/07/1991,378.640015,381.130005,378.149994
26/07/1991,380.959991,381.76001,379.809998
29/07/1991,380.929993,383.149994,380.450012
30/07/1991,383.149994,386.920013,383.149994
31/07/1991,386.690002,387.809998,386.190002
01/08/1991,387.809998,387.950012,386.480011
02/08/1991,387.119995,389.559998,386.049988
05/08/1991,387.170013,387.170013,384.480011
06/08/1991,385.059998,390.799988,384.290009
07/08/1991,390.619995,391.589996,389.859985
08/08/1991,390.559998,391.799988,388.149994
